assessmentIdentifier,objectiveAssessment__identificationCode,reportingMethod__codeValue,col,raw_col,min_year,max_year
WIForward_ELA,Writing_Lang_TT,Progress Score,Progress_Score_ELA_Writing_Lang_TT,,2024,
WIForward_ELA,Writing_Lang_TT,Progress Level,Progress_Level_ELA_Writing_Lang_TT,,2024,
WIForward_ELA,Writing_Lang_TT,Points Earned,Points_Earned_ELA_Writing_Lang_TT,,2024,
WIForward_ELA,Writing_Lang_IB,Progress Score,Progress_Score_ELA_Writing_Lang_IB,,2024,
WIForward_ELA,Writing_Lang_IB,Progress Level,Progress_Level_ELA_Writing_Lang_IB,,2024,
WIForward_ELA,Writing_Lang_IB,Points Earned,Points_Earned_ELA_Writing_Lang_IB,,2024,
WIForward_ELA,Writing_Lang_LC,Progress Score,Progress_Score_ELA_Writing_Lang_LC,,2024,
WIForward_ELA,Writing_Lang_LC,Progress Level,Progress_Level_ELA_Writing_Lang_LC,,2024,
WIForward_ELA,Writing_Lang_LC,Points Earned,Points_Earned_ELA_Writing_Lang_LC,,2024,
WIForward_MTH,,Scale Score,scaleScore,Scale_Score_MTH,,
WIForward_MTH,,Std Error Scale Score,stdErrorScaleScore,Std_Error_Scale_Score_MTH,,
WIForward_MTH,,WI Percentile,percentile,WI_Percentile_MTH,,
WIForward_MTH,,Performance Level,performanceLevel,MTH_Performance_Level,2024,
WIForward_MTH,,Proficiency,performanceLevel,MTH_Proficiency,,2023
WIForward_MTH,,Total Points Earned,Total_Points_Earned,Total_Points_Earned_MTH,,
WIForward_MTH,,Points Earned MC,Points_Earned_MC,Points_Earned_MTH_MC,,
WIForward_MTH,,Points Earned Autoscored,Points_Earned_Autoscored,Points_Earned_MTH_Autoscored,,
WIForward_MTH,,MTH S1 Attempted Status,MTH_S1_Attempted_Status,MTH_S1_Attempted_Status,2024,
WIForward_MTH,,MTH S2 Attempted Status,MTH_S2_Attempted_Status,MTH_S2_Attempted_Status,2024,
WIForward_MTH,MTH_Gr3-5_OA,Progress Score,Progress_Score_MTH_Gr3-5_OA,,2024,
WIForward_MTH,MTH_Gr3-5_OA,Progress Level,Progress_Level_MTH_Gr3-5_OA,,2024,
WIForward_MTH,MTH_Gr3-5_OA,Points Earned,Points_Earned_MTH_Gr3-5_OA,,2024,
WIForward_MTH,MTH_Gr3-5_NBT,Progress Score,Progress_Score_MTH_Gr3-5_NBT,,2024,
WIForward_MTH,MTH_Gr3-5_NBT,Progress Level,Progress_Level_MTH_Gr3-5_NBT,,2024,
WIForward_MTH,MTH_Gr3-5_NBT,Points Earned,Points_Earned_MTH_Gr3-5_NBT,,2024,
WIForward_MTH,MTH_Gr3-5_NF,Progress Score,Progress_Score_MTH_Gr3-5_NF,,2024,
WIForward_MTH,MTH_Gr3-5_NF,Progress Level,Progress_Level_MTH_Gr3-5_NF,,2024,
WIForward_MTH,MTH_Gr3-5_NF,Points Earned,Points_Earned_MTH_Gr3-5_NF,,2024,
WIForward_MTH,MTH_Gr3-5_MD,Progress Score,Progress_Score_MTH_Gr3-5_MD,,2024,
WIForward_MTH,MTH_Gr3-5_MD,Progress Level,Progress_Level_MTH_Gr3-5_MD,,2024,
WIForward_MTH,MTH_Gr3-5_MD,Points Earned,Points_Earned_MTH_Gr3-5_MD,,2024,
WIForward_MTH,MTH_Gr3-8_GEO,Progress Score,Progress_Score_MTH_Gr3-8_GEO,,2024,
WIForward_MTH,MTH_Gr3-8_GEO,Progress Level,Progress_Level_MTH_Gr3-8_GEO,,2024,
WIForward_MTH,MTH_Gr3-8_GEO,Points Earned,Points_Earned_MTH_Gr3-8_GEO,,2024,
WIForward_MTH,MTH_Gr6-7_RP,Progress Score,Progress_Score_MTH_Gr6-7_RP,,2024,
WIForward_MTH,MTH_Gr6-7_RP,Progress Level,Progress_Level_MTH_Gr6-7_RP,,2024,
WIForward_MTH,MTH_Gr6-7_RP,Points Earned,Points_Earned_MTH_Gr6-7_RP,,2024,
WIForward_MTH,MTH_Gr6-8_NS,Progress Score,Progress_Score_MTH_Gr6-8_NS,,2024,
WIForward_MTH,MTH_Gr6-8_NS,Progress Level,Progress_Level_MTH_Gr6-8_NS,,2024,
WIForward_MTH,MTH_Gr6-8_NS,Points Earned,Points_Earned_MTH_Gr6-8_NS,,2024,
WIForward_MTH,MTH_Gr6-8_EE,Progress Score,Progress_Score_MTH_Gr6-8_EE,,2024,
WIForward_MTH,MTH_Gr6-8_EE,Progress Level,Progress_Level_MTH_Gr6-8_EE,,2024,
WIForward_MTH,MTH_Gr6-8_EE,Points Earned,Points_Earned_MTH_Gr6-8_EE,,2024,
WIForward_MTH,MTH_Gr6-8_SP,Progress Score,Progress_Score_MTH_Gr6-8_SP,,2024,
WIForward_MTH,MTH_Gr6-8_SP,Progress Level,Progress_Level_MTH_Gr6-8_SP,,2024,
WIForward_MTH,MTH_Gr6-8_SP,Points Earned,Points_Earned_MTH_Gr6-8_SP,,2024,
WIForward_MTH,MTH_Gr8_FNC,Progress Score,Progress_Score_MTH_Gr8_FNC,,2024,
WIForward_MTH,MTH_Gr8_FNC,Progress Level,Progress_Level_MTH_Gr8_FNC,,2024,
