assessmentIdentifier,namespace,assessmentTitle,assessmentFamily,academicSubjectDescriptor,assessmentCategoryDescriptor,originalSubject,originalSubType
grade_10_math_ica,uri://www.caaspp-elpac.org,Grade 10 MATH - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,ICA
grade_11_12_elpac_ia_listening_i,uri://www.caaspp-elpac.org,Grade 11-12 ELPAC IA-Listening I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_11_12_elpac_ia_listening_ii,uri://www.caaspp-elpac.org,Grade 11-12 ELPAC IA-Listening II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_11_12_elpac_ia_reading_i,uri://www.caaspp-elpac.org,Grade 11-12 ELPAC IA-Reading I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_11_12_elpac_ia_reading_ii,uri://www.caaspp-elpac.org,Grade 11-12 ELPAC IA-Reading II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_11_12_elpac_ia_speaking_i,uri://www.caaspp-elpac.org,Grade 11-12 ELPAC IA-Speaking I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_11_12_elpac_ia_speaking_ii,uri://www.caaspp-elpac.org,Grade 11-12 ELPAC IA-Speaking II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_11_12_elpac_ia_writing_i,uri://www.caaspp-elpac.org,Grade 11-12 ELPAC IA-Writing I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_11_12_elpac_ia_writing_ii,uri://www.caaspp-elpac.org,Grade 11-12 ELPAC IA-Writing II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_11_ela_ica,uri://www.caaspp-elpac.org,Grade 11 ELA - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,ICA
grade_11_math_ica,uri://www.caaspp-elpac.org,Grade 11 MATH - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,ICA
grade_1_elpac_ia_listening_i,uri://www.caaspp-elpac.org,Grade 1 ELPAC IA-Listening I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_1_elpac_ia_listening_ii,uri://www.caaspp-elpac.org,Grade 1 ELPAC IA-Listening II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_1_elpac_ia_reading_i,uri://www.caaspp-elpac.org,Grade 1 ELPAC IA-Reading I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_1_elpac_ia_reading_ii,uri://www.caaspp-elpac.org,Grade 1 ELPAC IA-Reading II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_1_elpac_ia_speaking_i,uri://www.caaspp-elpac.org,Grade 1 ELPAC IA-Speaking I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_1_elpac_ia_speaking_ii,uri://www.caaspp-elpac.org,Grade 1 ELPAC IA-Speaking II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_1_elpac_ia_writing_i,uri://www.caaspp-elpac.org,Grade 1 ELPAC IA-Writing I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_1_elpac_ia_writing_ii,uri://www.caaspp-elpac.org,Grade 1 ELPAC IA-Writing II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_2_elpac_ia_listening_i,uri://www.caaspp-elpac.org,Grade 2 ELPAC IA-Listening I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_2_elpac_ia_listening_ii,uri://www.caaspp-elpac.org,Grade 2 ELPAC IA-Listening II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_2_elpac_ia_reading_i,uri://www.caaspp-elpac.org,Grade 2 ELPAC IA-Reading I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
