assessmentIdentifier,namespace,assessmentTitle,assessmentFamily,academicSubjectDescriptor,assessmentCategoryDescriptor,originalSubject,originalSubType
grade_6_ela_editing,uri://www.caaspp-elpac.org,Grade 6 ELA - Editing (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_ica,uri://www.caaspp-elpac.org,Grade 6 ELA - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,ICA
grade_6_ela_language_vocab_use,uri://www.caaspp-elpac.org,Grade 6 ELA - Language and Vocabulary Use (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_listen/interpret,uri://www.caaspp-elpac.org,Grade 6 ELA - Listen/Interpret (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_make_support_inferences_informational,uri://www.caaspp-elpac.org,Grade 6 ELA - Make and Support Inferences (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_make_support_inferences_literary,uri://www.caaspp-elpac.org,Grade 6 ELA - Make and Support Inferences (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_performance_task_ancient_aztecs,uri://www.caaspp-elpac.org,Grade 6 ELA - Performance Task - Ancient Aztecs (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_read_informational,uri://www.caaspp-elpac.org,Grade 6 ELA - Read Informational Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_read_literary,uri://www.caaspp-elpac.org,Grade 6 ELA - Read Literary Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_research_analyze_integrate_information,uri://www.caaspp-elpac.org,Grade 6 ELA - Research: Analyze and Integrate Information (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_research_evaluate_information_sources,uri://www.caaspp-elpac.org,Grade 6 ELA - Research: Evaluate Information and Sources (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_research,uri://www.caaspp-elpac.org,Grade 6 ELA - Research (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_research_use_evidence,uri://www.caaspp-elpac.org,Grade 6 ELA - Research: Use Evidence (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_revision,uri://www.caaspp-elpac.org,Grade 6 ELA - Revision (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_text_analysis_informational,uri://www.caaspp-elpac.org,Grade 6 ELA - Text Analysis (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_text_analysis_literary,uri://www.caaspp-elpac.org,Grade 6 ELA - Text Analysis (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_write_revise_argumentative,uri://www.caaspp-elpac.org,Grade 6 ELA - Write and Revise Argumentative Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_write_revise_explanatory,uri://www.caaspp-elpac.org,Grade 6 ELA - Write and Revise Explanatory Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_ela_write_revise_narratives,uri://www.caaspp-elpac.org,Grade 6 ELA - Write and Revise Narratives (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_6_elpac_ia_listening_i,uri://www.caaspp-elpac.org,Grade 6 ELPAC IA-Listening I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_6_elpac_ia_listening_ii,uri://www.caaspp-elpac.org,Grade 6 ELPAC IA-Listening II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_6_elpac_ia_reading_i,uri://www.caaspp-elpac.org,Grade 6 ELPAC IA-Reading I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_6_elpac_ia_reading_ii,uri://www.caaspp-elpac.org,Grade 6 ELPAC IA-Reading II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_6_elpac_ia_speaking_i,uri://www.caaspp-elpac.org,Grade 6 ELPAC IA-Speaking I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_6_elpac_ia_speaking_ii,uri://www.caaspp-elpac.org,Grade 6 ELPAC IA-Speaking II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_6_elpac_ia_writing_i,uri://www.caaspp-elpac.org,Grade 6 ELPAC IA-Writing I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_6_elpac_ia_writing_ii,uri://www.caaspp-elpac.org,Grade 6 ELPAC IA-Writing II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_6_math_algebraic_expressions,uri://www.caaspp-elpac.org,Grade 6 MATH - Algebraic Expressions (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_dependent_independent_variables,uri://www.caaspp-elpac.org,Grade 6 MATH - Dependent and Independent Variables (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_divide_fractions_by_fractions,uri://www.caaspp-elpac.org,Grade 6 MATH - Divide Fractions by Fractions (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_expressions_equations,uri://www.caaspp-elpac.org,Grade 6 MATH - Expressions and Equations (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_geometry,uri://www.caaspp-elpac.org,Grade 6 MATH - Geometry (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_ica,uri://www.caaspp-elpac.org,Grade 6 MATH - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,ICA
grade_6_math_multi_digit_numbers_factors_multiples,uri://www.caaspp-elpac.org,"Grade 6 MATH - Multi-Digit Numbers, Factors, and Multiples (FIAB)",Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_one_variable_expressions_equations,uri://www.caaspp-elpac.org,Grade 6 MATH - One-Variable Expressions and Equations (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_performance_task_feeding_the_giraffe,uri://www.caaspp-elpac.org,Grade 6 MATH - Performance Task - Feeding the Giraffe (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_rational_number_system_i,uri://www.caaspp-elpac.org,Grade 6 MATH - Rational Number System I (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_rational_number_system_ii,uri://www.caaspp-elpac.org,Grade 6 MATH - Rational Number System II (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_ratios_proportional_relationships,uri://www.caaspp-elpac.org,Grade 6 MATH - Ratios and Proportional Relationships (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_statistics_probability,uri://www.caaspp-elpac.org,Grade 6 MATH - Statistics and Probability (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_math_the_number_system,uri://www.caaspp-elpac.org,Grade 6 MATH - The Number System (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_7_ela_brief_writes,uri://www.caaspp-elpac.org,Grade 7 ELA - Brief Writes (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_editing,uri://www.caaspp-elpac.org,Grade 7 ELA - Editing (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_ica,uri://www.caaspp-elpac.org,Grade 7 ELA - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,ICA
grade_7_ela_language_vocab_use,uri://www.caaspp-elpac.org,Grade 7 ELA - Language and Vocabulary Use (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_listen/interpret,uri://www.caaspp-elpac.org,Grade 7 ELA - Listen/Interpret (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_make_support_inferences_informational,uri://www.caaspp-elpac.org,Grade 7 ELA - Make and Support Inferences (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_make_support_inferences_literary,uri://www.caaspp-elpac.org,Grade 7 ELA - Make and Support Inferences (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_performance_task_mobile_ed_technology,uri://www.caaspp-elpac.org,Grade 7 ELA - Performance Task - Mobile Ed Technology (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_read_informational,uri://www.caaspp-elpac.org,Grade 7 ELA - Read Informational Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_read_literary,uri://www.caaspp-elpac.org,Grade 7 ELA - Read Literary Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_research_analyze_integrate_information,uri://www.caaspp-elpac.org,Grade 7 ELA - Research: Analyze and Integrate Information (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_research_evaluate_information_sources,uri://www.caaspp-elpac.org,Grade 7 ELA - Research: Evaluate Information and Sources (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_research,uri://www.caaspp-elpac.org,Grade 7 ELA - Research (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_research_use_evidence,uri://www.caaspp-elpac.org,Grade 7 ELA - Research: Use Evidence (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_revision,uri://www.caaspp-elpac.org,Grade 7 ELA - Revision (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_text_analysis_informational,uri://www.caaspp-elpac.org,Grade 7 ELA - Text Analysis (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_text_analysis_literary,uri://www.caaspp-elpac.org,Grade 7 ELA - Text Analysis (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_write_revise_argumentative,uri://www.caaspp-elpac.org,Grade 7 ELA - Write and Revise Argumentative Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_write_revise_explanatory,uri://www.caaspp-elpac.org,Grade 7 ELA - Write and Revise Explanatory Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_ela_write_revise_narratives,uri://www.caaspp-elpac.org,Grade 7 ELA - Write and Revise Narratives (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_7_elpac_ia_listening_i,uri://www.caaspp-elpac.org,Grade 7 ELPAC IA-Listening I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_7_elpac_ia_listening_ii,uri://www.caaspp-elpac.org,Grade 7 ELPAC IA-Listening II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_7_elpac_ia_reading_i,uri://www.caaspp-elpac.org,Grade 7 ELPAC IA-Reading I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_7_elpac_ia_reading_ii,uri://www.caaspp-elpac.org,Grade 7 ELPAC IA-Reading II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_7_elpac_ia_speaking_i,uri://www.caaspp-elpac.org,Grade 7 ELPAC IA-Speaking I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_7_elpac_ia_speaking_ii,uri://www.caaspp-elpac.org,Grade 7 ELPAC IA-Speaking II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_7_elpac_ia_writing_i,uri://www.caaspp-elpac.org,Grade 7 ELPAC IA-Writing I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_7_elpac_ia_writing_ii,uri://www.caaspp-elpac.org,Grade 7 ELPAC IA-Writing II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_7_math_algebraic_expressions_equations,uri://www.caaspp-elpac.org,Grade 7 MATH - Algebraic Expressions and Equations (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_7_math_angles_areas_volume,uri://www.caaspp-elpac.org,"Grade 7 MATH - Angles, Areas, and Volume (FIAB)",Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_7_math_equivalent_expressions,uri://www.caaspp-elpac.org,Grade 7 MATH - Equivalent Expressions (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_7_math_expressions_equations,uri://www.caaspp-elpac.org,Grade 7 MATH - Expressions and Equations (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_7_math_geometric_figures,uri://www.caaspp-elpac.org,Grade 7 MATH - Geometric Figures (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_7_math_geometry,uri://www.caaspp-elpac.org,Grade 7 MATH - Geometry (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_7_math_ica,uri://www.caaspp-elpac.org,Grade 7 MATH - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,ICA
grade_7_math_performance_task_camping_tasks,uri://www.caaspp-elpac.org,Grade 7 MATH - Performance Task - Camping Tasks (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_7_math_ratios_proportional_relationships,uri://www.caaspp-elpac.org,Grade 7 MATH - Ratios and Proportional Relationships (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_7_math_statistics_probability,uri://www.caaspp-elpac.org,Grade 7 MATH - Statistics and Probability (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_7_math_the_number_system,uri://www.caaspp-elpac.org,Grade 7 MATH - The Number System (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_8_ela_brief_writes,uri://www.caaspp-elpac.org,Grade 8 ELA - Brief Writes (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_edit/revise,uri://www.caaspp-elpac.org,Grade 8 ELA - Edit/Revise (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_editing,uri://www.caaspp-elpac.org,Grade 8 ELA - Editing (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_ica,uri://www.caaspp-elpac.org,Grade 8 ELA - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,ICA
grade_8_ela_language_vocab_use,uri://www.caaspp-elpac.org,Grade 8 ELA - Language and Vocabulary Use (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_listen/interpret,uri://www.caaspp-elpac.org,Grade 8 ELA - Listen/Interpret (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_make_support_inferences_informational,uri://www.caaspp-elpac.org,Grade 8 ELA - Make and Support Inferences (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_make_support_inferences_literary,uri://www.caaspp-elpac.org,Grade 8 ELA - Make and Support Inferences (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_performance_task_women_in_space,uri://www.caaspp-elpac.org,Grade 8 ELA - Performance Task - Women in Space (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_read_informational,uri://www.caaspp-elpac.org,Grade 8 ELA - Read Informational Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_read_literary,uri://www.caaspp-elpac.org,Grade 8 ELA - Read Literary Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_research_analyze_integrate_information,uri://www.caaspp-elpac.org,Grade 8 ELA - Research: Analyze and Integrate Information (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_research_evaluate_information_sources,uri://www.caaspp-elpac.org,Grade 8 ELA - Research: Evaluate Information and Sources (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_research,uri://www.caaspp-elpac.org,Grade 8 ELA - Research (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_research_use_evidence,uri://www.caaspp-elpac.org,Grade 8 ELA - Research: Use Evidence (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_text_analysis_informational,uri://www.caaspp-elpac.org,Grade 8 ELA - Text Analysis (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_text_analysis_literary,uri://www.caaspp-elpac.org,Grade 8 ELA - Text Analysis (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_write_revise_argumentative,uri://www.caaspp-elpac.org,Grade 8 ELA - Write and Revise Argumentative Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_write_revise_explanatory,uri://www.caaspp-elpac.org,Grade 8 ELA - Write and Revise Explanatory Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_ela_write_revise_narratives,uri://www.caaspp-elpac.org,Grade 8 ELA - Write and Revise Narratives (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_8_elpac_ia_listening_i,uri://www.caaspp-elpac.org,Grade 8 ELPAC IA-Listening I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
