assessmentIdentifier,gradeLevelDescriptor
middle_school_cast_ia_earth_and_space_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
middle_school_cast_ia_earth_and_space_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
middle_school_cast_ia_life_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
middle_school_cast_ia_life_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
middle_school_cast_ia_life_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
middle_school_cast_ia_life_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
middle_school_cast_ia_life_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
middle_school_cast_ia_life_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
middle_school_cast_ia_physical_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
middle_school_cast_ia_physical_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
middle_school_cast_ia_physical_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
middle_school_cast_ia_physical_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
middle_school_cast_ia_physical_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
middle_school_cast_ia_physical_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
summative_alternate_elpac_grade_1,uri://ed-fi.org/GradeLevelDescriptor#First grade
summative_alternate_elpac_grade_10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
summative_alternate_elpac_grade_11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
summative_alternate_elpac_grade_12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
summative_alternate_elpac_grade_2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
summative_alternate_elpac_grade_3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
summative_alternate_elpac_grade_4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
summative_alternate_elpac_grade_5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
summative_alternate_elpac_grade_6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
summative_alternate_elpac_grade_7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
summative_alternate_elpac_grade_8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
summative_alternate_elpac_grade_9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
summative_alternate_elpac_grade_kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
summative_elpac_grade_1,uri://ed-fi.org/GradeLevelDescriptor#First grade
summative_elpac_grade_10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
summative_elpac_grade_11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
summative_elpac_grade_12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
summative_elpac_grade_2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
summative_elpac_grade_3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
summative_elpac_grade_4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
summative_elpac_grade_5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
summative_elpac_grade_6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
summative_elpac_grade_7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
summative_elpac_grade_8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
summative_elpac_grade_9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
summative_elpac_grade_kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
