MOSIS_STATE_ID,GROWTH_YEAR,REPORT_YEAR,GRADE,COUNTY_DISTRICT_CODE,SCHOOL_CODE,MATH_Z_T,MATH_Z_PREDICTED,MATH_Z_PREDICTED_SE,MATH_Z_RESIDUAL,MATH_Z_RESIDUAL_SE,FREE_OR_REDUCED_LUNCH,GENDER,IEP_DISABILITY,ENGLISH_LANGUAGE_LEARNER,IN_BLDG_LESS_THAN_FAY,DIRECT_CERT,STUDENT_GROUP,HOMELESS,MILITARY,GIFTED,FOSTER,AMERICAN_INDIAN,ASIAN_PACIFIC_ISLANDER,BLACK,HISPANIC,WHITE,MULTI_RACE,Neglected_delinquent
,2025,2025,7,96119,9990,-1.537597656,0.0840578487,0.5611057822,-1.621655505,0.559388389,N,M,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,5,96119,4029,0.5424804688,-0.061364815,0.5268554074,0.6038452842,0.5265079307,Y,M,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N
,2025,2025,6,96119,4029,0.6979980469,-1.17812244,0.5671857993,1.8761204868,0.5665826219,Y,M,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,5,96119,4029,1.1423339844,0.2941245922,0.5268478068,0.8482093921,0.5265155362,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-0.875488281,-0.866980134,0.5794728939,-0.008508147,0.5791017307,Y,M,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N
,2025,2025,4,96119,4029,-0.696166992,-1.502754108,0.5469914972,0.806587116,0.5466874083,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,6,96119,4269,-2.793457031,-2.484372139,0.5670884807,-0.309084892,0.5666800274,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,4,96119,4069,0.8231201172,-0.434221172,0.5470385829,1.2573412894,0.5466402923,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,8,96119,9990,-1.115966797,-2.546271032,0.5799381354,1.4303042353,0.5786358167,N,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,4,96119,4269,0.1478271484,-1.218339496,0.5470138412,1.3661666441,0.546665051,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,5,96119,4269,-0.417236328,-1.239880888,0.5268408252,0.8226445597,0.5265225221,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,7,96119,4029,-0.781005859,-1.170437443,0.5604142062,0.3894315836,0.5600812317,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4269,-3.112304688,-1.295699006,0.5604487306,-1.816605681,0.5600466846,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,6,96119,4069,-1.956542969,-2.409071066,0.5671343084,0.4525280977,0.5666341629,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-1.516845703,-1.902925912,0.5794839409,0.3860802091,0.5790906764,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,9990,-1.396728516,-1.620309782,0.5799375089,0.2235812665,0.5786364446,N,F,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,4,96119,4069,1.5827636719,0.069416786,0.5471493298,1.5133468859,0.5465294423,Y,M,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,7,96119,4029,-0.412841797,-0.710976823,0.5604159295,0.2981350257,0.5600795074,Y,M,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,9990,-2.659667969,-1.793049769,0.5799117337,-0.8666182,0.5786622766,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,6,96119,4069,-1.406494141,-1.642726487,0.5670878332,0.236232346,0.5666806754,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,8,96119,4069,-1.236328125,-2.65050785,0.5797210499,1.4141797249,0.5788533091,Y,M,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,4,96119,4269,-1.814697266,-1.093048767,0.5470077418,-0.721648499,0.5466711542,Y,M,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N
,2025,2025,6,96119,4069,-0.736938477,-1.093683073,0.5671743746,0.3567445969,0.5665940585,Y,M,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,7,96119,4029,-1.026367188,-1.27697575,0.5604143219,0.2506085625,0.5600811159,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-1.276367188,-1.088533677,0.5794710445,-0.18783351,0.5791035812,Y,F,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,1015,-1.435302734,-1.704197249,0.5658891028,0.2688945147,0.5545489986,Y,M,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,4,96119,4029,-3.523925781,-2.598278887,0.5470288921,-0.925646895,0.54664999,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,8,96119,4269,-0.755249023,-0.974585283,0.5795145931,0.2193362593,0.5790600018,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,6,96119,4029,0.5065917969,-1.115023422,0.5670526292,1.621615219,0.5667159024,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4069,-1.680908203,-2.614341743,0.5605769588,0.9334335396,0.559918335,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4069,-1.537597656,-1.390766066,0.5605031862,-0.146831591,0.5599921846,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4269,-1.236328125,-1.159713881,0.5795229724,-0.076614244,0.5790516158,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,6,96119,4029,0.9371337891,-0.877302926,0.5670692761,1.8144367155,0.5666992452,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,5,96119,4269,-1.520751953,-1.458757848,0.5268405313,-0.061994105,0.5265228162,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,6,96119,4029,-1.502197266,-1.386071048,0.5670547892,-0.116126218,0.5667137412,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4269,-2.659667969,-0.604485296,0.5795231279,-2.055182673,0.5790514601,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,4,96119,4069,-0.168670654,-1.261531782,0.5470396125,1.0928611276,0.5466392619,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,6,96119,4029,-2.267578125,-1.095474315,0.5670526028,-1.17210381,0.5667159289,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,4,96119,4069,0.5487060547,-1.00542094,0.5471196856,1.5541269948,0.5465591185,Y,M,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,6,96119,4069,0.6501464844,-0.018592992,0.5671178833,0.6687394767,0.5666506021,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4029,-1.333007813,-0.826904709,0.5604129756,-0.506103103,0.560082463,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,8,96119,9990,-1.055908203,-2.643904791,0.5799328802,1.5879965878,0.5786410837,N,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,5,96119,4029,-0.609130859,-1.116000374,0.5268265646,0.5068695146,0.5265367909,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,5,96119,9990,-0.873046875,-0.470206541,0.527467433,-0.402840334,0.5258947884,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,7,96119,9990,-1.823974609,-2.919064567,0.5609849872,1.0950899575,0.5595095287,N,M,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,9990,-1.978027344,-2.771730738,0.5800457419,0.7937033942,0.5785279479,N,M,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-0.715087891,-1.315835568,0.5794763527,0.6007476774,0.5790982696,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-2.659667969,-1.197060192,0.5794717003,-1.462607776,0.579102925,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4029,-0.658203125,-1.324437932,0.5604137713,0.6662348068,0.5600816668,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,7,96119,9990,-2.519042969,-2.192781367,0.5609966135,-0.326261602,0.5594978715,N,M,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N
,2025,2025,5,96119,4269,-2.024414063,-2.183357164,0.5268387107,0.1589431012,0.5265246379,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,9990,-2.659667969,-1.606447752,0.5799139602,-1.053220217,0.5786600453,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,6,96119,4029,-0.378173828,-2.068580906,0.5671803196,1.6904070778,0.5665881074,Y,M,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,5,96119,4029,-1.088867188,-1.73259977,0.5268327573,0.6437325826,0.5265305948,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4069,-0.61730957,-2.085378549,0.5605050785,1.4680689783,0.5599902906,Y,M,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-1.456787109,-0.681443914,0.5794704615,-0.775343195,0.5791041647,Y,M,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N
,2025,2025,8,96119,4269,-1.436767578,-1.571029513,0.5795147081,0.1342619345,0.5790598866,Y,F,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-0.614868164,0.4778155943,0.5794923579,-1.092683758,0.5790822536,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-1.436767578,-2.378143056,0.579533847,0.9413754782,0.5790407321,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,4,96119,4029,-1.139404297,-1.308469597,0.5469948111,0.1690653001,0.5466840925,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N
,2025,2025,7,96119,4069,-0.00382328,0.3213675781,0.5605191725,-0.325190858,0.5599761832,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,9990,-1.803466797,-0.85743962,0.5610553199,-0.946027177,0.5594390017,Y,M,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4029,-1.757568359,-1.30398337,0.5794807093,-0.453584989,0.5790939101,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,9990,-1.015869141,-2.061984351,0.5799145392,1.0461152107,0.5786594651,N,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,7,96119,4029,-0.31060791,-0.092092153,0.5604632553,-0.218515758,0.5600321491,Y,F,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,6,96119,4269,-1.358642578,-0.826521014,0.5670932928,-0.532121564,0.5666752117,N,F,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
