assessmentIdentifier,original_grade,edfi_descriptor
FastBridge_EMATH_ident_I_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_EMATH_ident_I_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_EMATH_ident_I_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_EMATH_ident_I_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_EMATH_ident_I_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_EMATH_ident_I_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_EMATH_ident_I_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_EMATH_ident_I_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_EMATH_ident_I_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_EMATH_ident_KG_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_EMATH_ident_KG_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_EMATH_ident_KG_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_EMATH_ident_KG_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_EMATH_ident_KG_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_EMATH_ident_KG_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_EMATH_ident_KG_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_EMATH_ident_KG_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_EMATH_ident_KG_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_EMATH_ident_KG_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_EMATH_ident_KG_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_EMATH_ident_KG_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_EMATH_ident_KG_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_EMATH_matchq_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_EMATH_matchq_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_EMATH_matchq_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_EMATH_matchq_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_EMATH_matchq_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_EMATH_matchq_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_EMATH_matchq_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_EMATH_matchq_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_EMATH_matchq_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_EMATH_matchq_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_EMATH_matchq_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_EMATH_matchq_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_EMATH_matchq_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_EMATH_numseq_KG_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_EMATH_numseq_KG_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_EMATH_numseq_KG_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_EMATH_numseq_KG_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_EMATH_numseq_KG_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_EMATH_numseq_KG_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_EMATH_numseq_KG_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_EMATH_numseq_KG_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_EMATH_numseq_KG_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_EMATH_numseq_KG_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_EMATH_numseq_KG_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_EMATH_numseq_KG_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_EMATH_numseq_KG_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_EMATHplacev_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_EMATHplacev_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_EMATHplacev_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_EMATHplacev_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_EMATHplacev_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_EMATHplacev_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_EMATHplacev_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_EMATHplacev_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_EMATHplacev_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_EMATHplacev_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_EMATHplacev_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_EMATHplacev_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_EMATHplacev_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
