identificationCode,scoreType,resultDatatypeTypeDescriptor
ConceptsOfPrint,District Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,National Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,National Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,National Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,National Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
DecodableWords,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
DecodableWords,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
DecodableWords,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,Growth Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
DecodableWords,Growth Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
DecodableWords,Growth Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
DecodableWords,Growth Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
DecodableWords,Growth Percentile by Start Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,Growth Percentile by Start Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,Growth Percentile by Start Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,Growth Percentile by Start Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,School Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,School Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,School Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,School Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,District Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,District Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,District Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,District Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,National Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,National Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,National Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
