assessment_identifier,identification_code,reporting_method,level,score_reporting_method,result_data_type
NWEA-Map-Fluency-Adaptive-Oral-Reading,Phonics Word Recognition,,,Test Percentile,Integer
NWEA-Map-Fluency-Adaptive-Oral-Reading,Sentence Reading Fluency,Performance Level,Exceeds Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Sentence Reading Fluency,Performance Level,Meets Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Sentence Reading Fluency,Performance Level,Approaching Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Sentence Reading Fluency,Performance Level,Below Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Sentence Reading Fluency,Performance Level,No Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Sentence Reading Fluency,,,Correct,Integer
NWEA-Map-Fluency-Adaptive-Oral-Reading,Sentence Reading Fluency,,,Attempted,Integer
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Rate,Performance Level,Exceeds Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Rate,Performance Level,Meets Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Rate,Performance Level,Approaching Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Rate,Performance Level,Below Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Rate,Performance Level,No Score,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Rate,,,WCPM,Integer
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Accuracy,Performance Level,Exceeds Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Accuracy,Performance Level,Meets Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Accuracy,Performance Level,Approaching Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Accuracy,Performance Level,Below Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Accuracy,Performance Level,No Score,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Oral Reading Accuracy,,,Oral Reading Accuracy Score,Decimal
NWEA-Map-Fluency-Adaptive-Oral-Reading,Literal Comprehension,Performance Level,Exceeds Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Literal Comprehension,Performance Level,Meets Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Literal Comprehension,Performance Level,Approaching Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Literal Comprehension,Performance Level,Below Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading,Literal Comprehension,,,Literal Comprehension Score (Not Scored),Integer
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Sentence Reading Fluency,Performance Level,Exceeds Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Sentence Reading Fluency,Performance Level,Meets Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Sentence Reading Fluency,Performance Level,Approaching Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Sentence Reading Fluency,Performance Level,Below Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Sentence Reading Fluency,Performance Level,No Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Sentence Reading Fluency,,,Correct,Integer
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Sentence Reading Fluency,,,Attempted,Integer
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Rate,Performance Level,Exceeds Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Rate,Performance Level,Meets Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Rate,Performance Level,Approaching Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Rate,Performance Level,Below Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Rate,Performance Level,No Score,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Rate,,,WCPM,Integer
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Accuracy,Performance Level,Exceeds Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Accuracy,Performance Level,Meets Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Accuracy,Performance Level,Approaching Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Accuracy,Performance Level,Below Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Accuracy,Performance Level,No Score,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Oral Reading Accuracy,,,Oral Reading Accuracy Score,Decimal
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Literal Comprehension,Performance Level,Exceeds Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Literal Comprehension,Performance Level,Meets Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Literal Comprehension,Performance Level,Approaching Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Literal Comprehension,Performance Level,Below Expectation,,
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,Literal Comprehension,,,Literal Comprehension Score (Not Scored),Integer
