assessment_identifier,identification_code,reporting_method,level,score_reporting_method,result_data_type
NWEA-Map-Fluency-Foundational-Skills,Phonics Word Recognition,ZPD Name,Initial Letters & Syllables,,
NWEA-Map-Fluency-Foundational-Skills,Phonics Word Recognition,ZPD Name,Reinforce - Decodable Words: Multisyllabic,,
NWEA-Map-Fluency-Foundational-Skills,Phonics Word Recognition,,,Domain Score,Integer
NWEA-Map-Fluency-Foundational-Skills,Phonics Word Recognition,,,Test Percentile,Integer
NWEA-Map-Fluency-Foundational-Skills,Sentence Reading Fluency,Performance Level,Exceeds Expectation,,
NWEA-Map-Fluency-Foundational-Skills,Sentence Reading Fluency,Performance Level,Meets Expectation,,
NWEA-Map-Fluency-Foundational-Skills,Sentence Reading Fluency,Performance Level,Approaching Expectation,,
NWEA-Map-Fluency-Foundational-Skills,Sentence Reading Fluency,Performance Level,Below Expectation,,
NWEA-Map-Fluency-Foundational-Skills,Sentence Reading Fluency,Performance Level,No Expectation,,
NWEA-Map-Fluency-Foundational-Skills,Sentence Reading Fluency,,,Correct,Integer
NWEA-Map-Fluency-Foundational-Skills,Sentence Reading Fluency,,,Attempted,Integer
NWEA-Map-Fluency-Foundational-Skills,Literal Comprehension,Performance Level,Exceeds Expectation,,
NWEA-Map-Fluency-Foundational-Skills,Literal Comprehension,Performance Level,Meets Expectation,,
NWEA-Map-Fluency-Foundational-Skills,Literal Comprehension,Performance Level,Approaching Expectation,,
NWEA-Map-Fluency-Foundational-Skills,Literal Comprehension,Performance Level,Below Expectation,,
NWEA-Map-Fluency-Foundational-Skills,Literal Comprehension,,,Literal Comprehension Score (Not Scored),Integer
NWEA-Map-Fluency-Foundational-Skills-Beginner,Print Concept,Performance Level,Meets Expectation,,
NWEA-Map-Fluency-Foundational-Skills-Beginner,Print Concept,Performance Level,Approaching Expectation,,
NWEA-Map-Fluency-Foundational-Skills-Beginner,Print Concept,Performance Level,Below Expectation,,
NWEA-Map-Fluency-Foundational-Skills-Beginner,Print Concept,Performance Level,No Expectation,,
