identificationCode,assessmentIdentifier,namespace
8_SocLev5,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
3_SocLev6,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
4_SocLev6,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
5_SocLev6,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
6_SocLev6,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
7_SocLev6,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
8_SocLev6,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
3_SocLev7,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
4_SocLev7,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
5_SocLev7,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
6_SocLev7,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
7_SocLev7,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
8_SocLev7,SC_READY_Social_Studies,uri://datarecognitioncorp.com/Assessment
