identificationCode,scoreType,resultDatatypeTypeDescriptor
SyllableReading,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SyllableReading,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordBlending,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordBlending,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordBlending,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
WordBlending,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordBlending,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordBlending,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordRhyming,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordRhyming,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordRhyming,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
WordRhyming,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordRhyming,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordRhyming,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordSegmenting,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordSegmenting,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordSegmenting,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
WordSegmenting,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordSegmenting,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordSegmenting,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
