codeValue,description,namespace,shortDescription,column_name,data_type,is_deprecated,score_or_performance
Fall-To-Fall Met Projected Growth,"Whether Projected Growth was met or not. Asterisk means Observed Growth Standard Error (SE) could be large enough to put the outcome in question, so evaluate in combination with other points of data.",uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Fall Met Projected Growth,FalltoFallMetProjectedGrowth,Level,False,performance
Fall-To-Fall Conditional Growth Index,Calculation that enables you to compare student growth. Measures growth from the previous academic year fall term to the fall term chosen at export. It incorporates: -weeks of instruction before testing -how high students scored in the first term.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Fall Conditional Growth Index,FalltoFallConditionalGrowthIndex,Decimal,False,score
Fall-To-Fall Conditional Growth Percentile,Translates the Conditional Growth Index to national percentile rankings for growth. Measures growth from the previous academic year fall term to the fall term chosen at export.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Fall Conditional Growth Percentile,FalltoFallConditionalGrowthPercentile,Decimal,False,score
Fall-To-Winter Projected Growth,Projected RIT growth from previous academic year fall term to the winter term chosen at export. Based on previous fall term RIT score and weeks of instruction.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Winter Projected Growth,FalltoWinterProjectedGrowth,Integer,False,score
Fall-To-Winter Observed Growth,Actual growth from previous academic year fall term to the winter term chosen at export.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Winter Observed Growth,FalltoWinterObservedGrowth,Integer,False,score
Fall-To-Winter Observed Growth SE,Standard Error associated with calculation for FalltoWinterObservedGrowth.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Winter Observed Growth SE,FalltoWinterObservedGrowthSE,Decimal,False,score
Fall-To-Winter Met Projected Growth,"Whether Projected Growth was met or not. Asterisk means Observed Growth Standard Error (SE) could be large enough to put the outcome in question, so evaluate in combination with other points of data.",uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Winter Met Projected Growth,FalltoWinterMetProjectedGrowth,Level,False,performance
Fall-To-Winter Conditional Growth Index,Calculation that enables you to compare student growth. Measures growth from the previous academic year fall term to the winter term chosen at export. It incorporates: -weeks of instruction before testing -how high students scored in the first term.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Winter Conditional Growth Index,FalltoWinterConditionalGrowthIndex,Decimal,False,score
Fall-To-Winter Conditional Growth Percentile,Translates the Conditional Growth Index to national percentile rankings for growth. Measures growth from the previous academic year fall term to the winter term chosen at export.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Winter Conditional Growth Percentile,FalltoWinterConditionalGrowthPercentile,Decimal,False,score
Fall-To-Spring Projected Growth,Projected RIT growth from previous academic year fall term to the spring term chosen at export.  Based on previous fall term RIT score and weeks of instruction.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Spring Projected Growth,FalltoSpringProjectedGrowth,Integer,False,score
Fall-To-Spring Observed Growth,Actual growth from previous academic year fall term to the spring term chosen at export.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Spring Observed Growth,FalltoSpringObservedGrowth,Integer,False,score
Fall-To-Spring Observed Growth SE,Standard Error associated with calculation for FalltoSpringObservedGrowth.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Spring Observed Growth SE,FalltoSpringObservedGrowthSE,Decimal,False,score
Fall-To-Spring Met Projected Growth,"Whether Projected Growth was met or not. Asterisk means Observed Growth Standard Error (SE) could be large enough to put the outcome in question, so evaluate in combination with other points of data.",uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Spring Met Projected Growth,FalltoSpringMetProjectedGrowth,Level,False,performance
Fall-To-Spring Conditional Growth Index,Calculation that enables you to compare student growth. Measures growth from the previous academic year fall term to the spring term chosen at export. It incorporates: -weeks of instruction before testing -how high students scored in the first term.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Spring Conditional Growth Index,FalltoSpringConditionalGrowthIndex,Decimal,False,score
Fall-To-Spring Conditional Growth Percentile,Translates the Conditional Growth Index to national percentile rankings for growth. Measures growth from the previous academic year fall term to the spring term chosen at export.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Spring Conditional Growth Percentile,FalltoSpringConditionalGrowthPercentile,Decimal,False,score
Winter-To-Winter Projected Growth,Projected RIT growth from previous academic year winter term to the winter term chosen at export.  Based on previous fall term RIT score and weeks of instruction.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Winter-To-Winter Projected Growth,WintertoWinterProjectedGrowth,Integer,False,score
Winter-To-Winter Observed Growth,Actual growth from previous academic year winter term to the winter term chosen at export.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Winter-To-Winter Observed Growth,WintertoWinterObservedGrowth,Integer,False,score
Winter-To-Winter Observed Growth SE,Standard Error associated with calculation for FalltoSpringObservedGrowth.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Winter-To-Winter Observed Growth SE,WintertoWinterObservedGrowthSE,Decimal,False,score
Winter-To-Winter Met Projected Growth,"Whether Projected Growth was met or not. Asterisk means Observed Growth Standard Error (SE) could be large enough to put the outcome in question, so evaluate in combination with other points of data.",uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Winter-To-Winter Met Projected Growth,WintertoWinterMetProjectedGrowth,Level,False,performance
